user_id,n,med_deltae,stopped_share,age,gender
K7VV4S,17,0.0,0.23529411764705882,22.116358658453116,female
KB395O,347,0.0,0.1844380403458213,33.73032169746749,male
KBTA80,8,0.88,0.5,23.63586584531143,female
KC1UUF,19,0.0,0.47368421052631576,22.590006844626966,male
KJF5T9,15,0.0,0.06666666666666667,21.998631074606433,male
KM3R6V,6,0.0,0.16666666666666666,31.561943874058862,male
KRYBVQ,13,1.78,0.5384615384615384,32.56673511293634,female
KWL8RT,7,0.0,0.2857142857142857,20.098562628336754,male
KX3BKP,34,0.0,0.23529411764705882,46.392881587953454,female
LEZO2R,24,0.0,0.25,27.32375085557837,female
LIL31S,24,0.0,0.3333333333333333,32.15058179329227,female
LISZ6D,19,4.44,0.5789473684210527,30.02053388090349,male
LO5M5A,1,0.0,0.0,36.23545516769336,female
LVJLPY,7,0.0,0.42857142857142855,23.156741957563312,male
LVMB0Q,10,0.0,0.0,45.12251882272416,male
M04XZJ,14,0.0,0.21428571428571427,21.018480492813143,female
M5FMKP,33,0.81,0.5454545454545454,24.016427104722794,female
MHBUPZ,59,0.0,0.03389830508474576,24.98836413415469,male
MOPAWK,6,0.0,0.0,30.93223819301848,male
MY5THH,6,0.405,0.5,46.95687885010267,male
NA5WK1,22,0.0,0.2727272727272727,31.6249144421629,female
NC65D9,10,3.45,0.6,22.151950718685832,male
NE8UVL,5,0.0,0.2,33.73305954825462,male
NJCICB,11,3.28,0.5454545454545454,0.7474332648870636,female
NXOXBW,22,0.47,0.6363636363636364,32.134154688569474,female
NXXOSJ,4,0.0,0.0,32.74469541409993,female
O6Y1EE,4,0.0,0.25,23.238877481177276,female
O7TJU3,7,0.0,0.14285714285714285,33.9958932238193,female
OG1860,4,0.0,0.25,31.175906913073238,male
OH9U3K,50,0.675,0.6,34.729637234770706,male
OXZ0JI,4,0.0,0.25,19.65776865160849,female
P2ZWYY,48,0.54,0.5416666666666666,24.416153319644078,male
PCWF3K,4,0.0,0.25,33.007529089664615,female
PE476Y,18,0.0,0.0,48.79123887748118,female
PE9VFF,8,0.0,0.125,23.249828884325805,male
PPDZ2O,11,0.0,0.36363636363636365,23.71252566735113,female
PV3TIP,25,0.0,0.44,31.953456536618756,male
PVY70V,22,3.69,0.7272727272727273,24.10130047912389,male
Q9DMDA,8,0.0,0.125,32.02190280629706,male
QA4OVG,18,1.04,0.5,21.585215605749486,female
QBB5ZJ,11,0.0,0.45454545454545453,27.080082135523615,female
QCGW5Q,16,0.0,0.3125,25.111567419575632,female
QKKS8J,14,0.0,0.42857142857142855,24.856947296372347,female
QVN30D,10,0.0,0.1,25.297741273100616,male
R9ZXG2,6,0.0,0.0,36.93908281998631,male
RM55E2,6,5.64,0.6666666666666666,22.7378507871321,male
S02MHM,13,1.61,0.5384615384615384,24.4435318275154,male
S8C2L8,17,0.0,0.47058823529411764,34.04517453798768,female
S8MAXJ,12,9.77,0.5833333333333334,35.7864476386037,male
SWJBF0,5,0.0,0.2,35.75906913073238,male
TARE0R,14,0.0,0.42857142857142855,33.13620807665982,female
TGQUDG,45,0.0,0.35555555555555557,30.833675564681723,female
TNZH27,43,4.2,0.7209302325581395,26.27789185489391,female
U3VPS9,6,49.065,1.0,30.38466803559206,male
UMR2HL,27,0.0,0.37037037037037035,23.129363449691994,female
UMXE0T,22,0.0,0.36363636363636365,33.50034223134839,male
UOXA7L,23,0.0,0.08695652173913043,32.23271731690623,female
UYC0F4,16,0.53,0.5,21.77138945927447,female
VA27MA,4,0.0,0.25,31.017111567419576,female
VD54HE,16,0.0,0.4375,30.469541409993155,female
VI1N1K,10,0.0,0.4,28.407939767282684,female
VIS2P1,32,1.685,0.59375,24.44079397672827,female
VJYMG5,9,2.45,0.5555555555555556,31.44147843942505,female
VOP7WG,5,0.0,0.0,30.88021902806297,male
VR1FO9,14,0.0,0.35714285714285715,20.941820670773442,female
VU5ZUZ,3,0.0,0.0,30.77891854893908,male
W9X48S,6,0.0,0.16666666666666666,20.84599589322382,female
WB4J3T,10,0.0,0.4,52.440793976728266,male
WFZTPL,5,0.0,0.4,19.871321013004792,female
WGCPJG,52,0.0,0.21153846153846154,24.39425051334702,female
WHTFOF,15,0.0,0.2,30.431211498973305,female
WNWNLM,8,0.21,0.5,21.013004791238878,female
WS3THD,15,0.0,0.3333333333333333,27.16221765913758,female
WZPI16,8,0.0,0.25,25.05133470225873,female
XA4S49,14,0.0,0.14285714285714285,33.01026694045174,male
XII0DD,14,0.0,0.2857142857142857,24.813141683778234,male
XR9OVT,11,0.0,0.18181818181818182,23.748117727583846,female
XTD3NV,8,0.0,0.25,25.196440793976727,female
