user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
2Q4ZS1,102,66,103,102,67,104,33.35183632842266,22.336384539983793,-15.366642317958224,33.6450450412847,21.93763132553597,-15.549528775454158,27.111764428861715,26.889542824559403,0.367105111611721,0.367105111611721,,
2Q4ZS1,102,66,103,89,63,112,33.35183632842266,22.336384539983793,-15.366642317958224,31.46026053415175,21.809997300587273,-24.118330088684914,27.111764428861715,32.517223567186484,5.562696350198046,5.562696350198046,,
2Q4ZS1,102,66,103,110,69,126,33.35183632842266,22.336384539983793,-15.366642317958224,36.13388963897096,28.354682029788442,-25.374254669086127,27.111764428861715,38.05050319012939,5.706921425128138,5.706921425128138,,
96SYWB,102,66,103,101,63,103,33.35183632842266,22.336384539983793,-15.366642317958224,32.48323982286784,23.810251800001208,-16.713087442677043,27.111764428861715,29.090468931353268,1.1422993313033731,1.1422993313033731,acceptable,
96SYWB,53,94,70,72,103,74,36.374378738702966,-20.488174290578282,9.334392268407354,40.52815399560947,-17.81700268676892,12.830258917675508,22.51435463835497,21.955890522475347,4.714869405723423,4.714869405723423,acceptable,
96SYWB,255,173,59,255,173,41,76.96084570696759,20.890258342526447,66.9294588837105,76.86704345604846,20.33266339184786,72.92456012515686,70.11387423387606,75.70606759074076,1.89029628680535,1.8902962868053501,identical,
96SYWB,255,173,59,255,173,25,76.96084570696759,20.890258342526447,66.9294588837105,76.81278140343564,20.008986041744446,76.8239598327878,70.11387423387606,79.386902740997,3.0305162044611493,3.0305162044611493,identical,
96SYWB,255,173,59,255,172,37,76.96084570696759,20.890258342526447,66.9294588837105,76.61988689109268,20.75940720025199,73.84923116447995,70.11387423387606,76.71155017916578,2.0089162741335778,2.0089162741335778,identical,
0TFA3Q,180,57,33,181,55,41,42.37147729797363,48.54892060211874,41.49847843249223,42.3361865994988,49.97270080482619,37.25460775048639,63.86799984219681,62.3311850069552,2.5306198165628064,2.5306198165628224,unacceptable,
0TFA3Q,208,176,148,207,177,146,73.93316011294016,7.415254702891949,18.655562937497415,74.0528282143663,6.222823917570841,19.88869014241419,20.075259172017887,20.839470556855687,1.6167804941568773,1.6167804941569064,acceptable,
